S.No,State / UT,Department / Agency,Phone Number,Official Website / Email
1,Andhra Pradesh,Commissionerate of Agriculture,0863-2216461,agri.ap.gov.in
2,Arunachal Pradesh,Directorate of Agriculture,0360-2244252,agri.arunachal.gov.in
3,Assam,Department of Agriculture,0361-2332215,agriculture.assam.gov.in
4,Bihar,Directorate of Agriculture,0612-2233553,krishi.bih.nic.in
5,Chhattisgarh,Directorate of Agriculture,0771-2442015,agriportal.cg.nic.in
6,Goa,Directorate of Agriculture,0832-2465443,agri.goa.gov.in
7,Gujarat,Director of Agriculture,079-23250802,dag.gujarat.gov.in
8,Haryana,Agriculture & Farmers Welfare,0172-2571553,agriharyana.gov.in
9,Himachal Pradesh,Directorate of Agriculture,0177-2830162,hpagriculture.nic.in
10,Jharkhand,Dept. of Agriculture,0651-2490578,jharkhand.gov.in
11,Karnataka,Dept. of Agriculture (Raitamitra),080-22212203,raitamitra.karnataka.gov.in
12,Kerala,Directorate of Agri Development,0471-2306748,keralaagriculture.gov.in
13,Madhya Pradesh,Directorate of Agri Engineering,0755-2558391,mpkrishi.mp.gov.in
14,Maharashtra,Commissionerate of Agriculture,020-25511479,krishi.maharashtra.gov.in
15,Manipur,Directorate of Agriculture,0385-2450531,manipur.gov.in
16,Meghalaya,Directorate of Agriculture,0364-2223830,megagriculture.gov.in
17,Mizoram,Directorate of Agriculture,0389-2322437,agriculturemizoram.nic.in
18,Nagaland,Directorate of Agriculture,0370-2243116,agriculture.nagaland.gov.in
19,Odisha,Dept. of Agriculture,0674-2391325,agri.odisha.gov.in
20,Punjab,Dept. of Agriculture,0172-2704642,agri.punjab.gov.in
21,Rajasthan,Commissionerate of Agriculture,0141-2227124,agriculture.rajasthan.gov.in
22,Sikkim,Food Security & Agri Development,03592-231139,sikkimagrisnet.gov.in
23,Tamil Nadu,Department of Agriculture,044-28524894,tnagrisnet.tn.gov.in
24,Telangana,Department of Agriculture,040-23452269,agri.telangana.gov.in
25,Tripura,Directorate of Agriculture,0381-2323883,agri.tripura.gov.in
26,Uttar Pradesh,Directorate of Agriculture,0522-2204927,upagriculture.com
27,Uttarakhand,Directorate of Agriculture,0135-2712011,agriculture.uk.gov.in
28,West Bengal,Dept. of Agriculture,033-22253249,matirkatha.gov.in
29,Andaman & Nicobar,Directorate of Agriculture,03192-233257,agriwelfare.gov.in
30,Chandigarh,Department of Agriculture,0172-2741285,chandigarh.gov.in/agriculture
31,DNHDD*,Zonal Agriculture Office,0260-2230856,ddd.gov.in
32,Delhi,Development Department (Agri),011-23831238,delhi.gov.in
33,Jammu & Kashmir,Directorate of Agriculture,0191-2505201,jkdiragri.in
34,Ladakh,Department of Agriculture,01982-252012,ladakh.nic.in
35,Lakshadweep,Directorate of Agriculture,04896-262276,lakshadweep.gov.in
36,Puducherry,Dept. of Agri & Farmers Welfare,0413-2336945,agri.py.gov.in